Department,Month,Month Name,Budget Allocated,Actual Spending,Revenue Generated,Profit or Loss
Marketing,2021-04-01,April,47280.13,58923.93,9588.68,-49335.25
Operations,2021-04-01,April,21443.64,42077.01,61320.73,19243.72
Operations,2021-04-01,April,30240.47,48641.86,93117.07,44475.21000000001
R&D,2021-04-01,April,15243.02,56344.8,63865.66,7520.860000000001
Sales,2021-04-01,April,41615.82,7538.08,80186.11,72648.03
Operations,2021-04-01,April,6015.22,0.0,0.0,5170.079999999998
Marketing,2021-04-01,April,16792.95,58637.14,84751.61,26114.47
IT,2021-04-01,April,33950.04,23075.87,39558.98,16483.110000000004
R&D,2021-04-01,April,40419.06,53988.79,75447.63,21458.840000000004
IT,2021-04-01,April,39327.51,48115.26,0.0,-33007.32
R&D,2021-04-01,April,7079.66,45427.39,95239.2,49811.81
Sales,2021-04-01,April,15558.42,47507.27,41403.95,-6103.32
Marketing,2021-04-01,April,14726.44,32334.94,96590.48,64255.53999999999
HR,2021-04-01,April,44244.27,10545.54,22027.99,11482.45
HR,2021-04-01,April,36155.72,13386.88,17931.37,4544.49
Marketing,2021-04-01,April,12684.15,10797.08,84651.37,73854.29
Operations,2021-04-01,April,15519.54,34664.59,75746.5,41081.91
R&D,2021-04-01,April,26295.16,42354.95,83770.16,41415.21000000001
Marketing,2021-04-01,April,18345.62,15058.47,54645.22,39586.75
Operations,2021-04-01,April,47656.93,18264.73,97836.97,79572.24
Marketing,2021-04-01,April,14033.33,50139.56,94600.08,44460.52
Sales,2021-04-01,April,35474.64,14773.39,69742.05,54968.66
IT,2021-04-01,April,23362.52,35977.85,28205.3,-7772.549999999999
R&D,2021-04-01,April,16836.53,38149.69,54210.28,16060.589999999997
Operations,2021-04-01,April,20980.52,5578.88,0.0,72154.39
HR,2021-04-01,April,36367.52,32823.47,20920.23,-11903.240000000002
Marketing,2021-04-01,April,45554.08,20989.88,15935.94,-5053.9400000000005
HR,2021-04-01,April,18016.93,30621.37,4466.82,-26154.55
Sales,2021-04-01,April,25058.29,21293.87,78321.85,57027.98000000001
HR,2021-04-01,April,35377.91,33297.55,0.0,32483.84
Marketing,2021-04-01,April,26938.26,36230.99,24408.32,-11822.669999999998
Marketing,2021-04-01,April,42544.11,6715.56,89412.68,82697.12
Marketing,2021-05-01,May,35156.15,0.0,2962.44,-48607.12
Operations,2021-05-01,May,27455.81,58842.1,43035.2,-15806.9
HR,2021-05-01,May,19129.42,14789.96,44731.37,29941.410000000003
HR,2021-05-01,May,0.0,49605.03,87208.9,37603.87
Marketing,2021-05-01,May,13857.39,0.0,49809.31,31448.13
Marketing,2021-05-01,May,41442.23,50121.11,51635.98,1514.8700000000026
R&D,2021-05-01,May,33420.47,44141.15,21556.44,-22584.710000000003
IT,2021-05-01,May,30712.75,5392.22,97802.44,92410.22
HR,2021-05-01,May,12945.16,49329.68,68739.05,19409.370000000003
Operations,2021-05-01,May,5016.9,20672.75,89705.55,69032.8
HR,2021-05-01,May,12202.14,53016.21,52844.72,-171.48999999999796
IT,2021-05-01,May,48588.22,19820.66,73214.8,53394.14
Marketing,2021-05-01,May,10443.56,5446.03,82627.61,77181.58
Sales,2021-05-01,May,49174.93,15595.65,1510.72,-14084.93
HR,2021-05-01,May,42202.43,22247.19,21357.16,-890.0299999999988
HR,2021-05-01,May,37277.25,53328.04,86432.7,33104.66
IT,2021-05-01,May,15799.0,43096.13,1066.18,-42029.95
Marketing,2021-05-01,May,0.0,19402.52,20418.15,1015.630000000001
R&D,2021-05-01,May,11454.15,59536.1,69594.61,10058.510000000002
Operations,2021-05-01,May,47287.86,0.0,48545.27,-4718.360000000001
R&D,2021-05-01,May,7090.02,17215.89,33603.67,16387.78
Operations,2021-05-01,May,21164.81,21433.11,41324.16,19891.050000000003
HR,2021-05-01,May,37509.97,7161.04,87626.47,80465.43000000001
IT,2021-05-01,May,24583.17,25284.89,19114.74,-6170.149999999998
R&D,2021-05-01,May,6773.48,11638.54,16289.99,4651.449999999999
Operations,2021-05-01,May,46117.49,8480.7,16005.67,7524.969999999999
R&D,2021-05-01,May,17785.3,7150.21,31042.19,23891.98
R&D,2021-05-01,May,8973.13,12346.31,93230.81,80884.5
Operations,2021-05-01,May,22310.34,57686.69,57307.03,-379.6600000000035
HR,2021-05-01,May,0.0,0.0,50472.48,13396.72
IT,2021-05-01,May,5009.77,8720.28,67293.16,58572.880000000005
Marketing,2021-05-01,May,26626.27,7710.57,60376.85,52666.28
HR,2021-05-01,May,22500.69,12624.9,44407.43,31782.53
Sales,2021-05-01,May,27976.63,19918.86,28210.48,8291.619999999999
IT,2021-05-01,May,7207.34,39902.74,86621.46,46718.72000000001
IT,2021-05-01,May,46086.02,0.0,97639.39,71646.65
Marketing,2021-05-01,May,36599.95,14344.02,50948.13,36604.11
R&D,2021-06-01,June,27791.53,5230.43,5504.95,274.5199999999995
Marketing,2021-06-01,June,11335.73,27149.99,29226.26,2076.269999999997
Operations,2021-06-01,June,48021.91,30036.7,2348.31,-27688.39
Operations,2021-06-01,June,19113.25,15237.14,54700.86,39463.72
IT,2021-06-01,June,44977.87,53733.81,9871.66,-43862.15
Marketing,2021-06-01,June,38038.36,3591.69,63419.28,59827.59
HR,2021-06-01,June,42272.05,22980.19,78103.83,55123.64
Sales,2021-06-01,June,17105.47,9801.5,55917.1,46115.6
Operations,2021-06-01,June,0.0,24212.74,38553.55,14340.81
Operations,2021-06-01,June,17569.18,0.0,95545.56,44020.1
Marketing,2021-06-01,June,46884.48,43443.27,0.0,22369.6
Sales,2021-06-01,June,45326.25,18331.63,59906.78,41575.15
Sales,2021-06-01,June,45344.38,48671.5,94481.74,45810.240000000005
IT,2021-06-01,June,34871.14,0.0,16092.77,-23279.960000000003
Operations,2021-06-01,June,10170.67,6182.02,8748.61,2566.59
R&D,2021-06-01,June,28277.15,25731.86,48134.27,22402.41
R&D,2021-06-01,June,14570.09,44431.27,48073.87,3642.600000000006
R&D,2021-06-01,June,40367.33,18920.71,89491.08,70570.37
R&D,2021-06-01,June,24583.09,12907.41,43017.17,30109.76
Sales,2021-06-01,June,28479.62,35468.86,94440.69,58971.83
Operations,2021-06-01,June,35107.96,57766.98,14513.4,-43253.58
Operations,2021-06-01,June,19951.47,51464.07,76905.65,25441.579999999994
Operations,2021-06-01,June,19609.38,56323.46,16762.65,-39560.81
R&D,2021-06-01,June,7155.21,59007.65,70695.89,11688.239999999998
IT,2021-06-01,June,46376.73,5466.96,72952.4,67485.43999999999
HR,2021-06-01,June,42480.59,7030.43,8430.49,1400.0599999999995
Marketing,2021-06-01,June,28315.65,8932.89,22824.13,13891.240000000002
Operations,2021-06-01,June,6833.64,44295.0,92129.67,47834.67
Marketing,2021-06-01,June,20274.85,42743.83,37191.63,-5552.200000000004
Marketing,2021-06-01,June,29096.75,15636.73,44150.22,28513.49
R&D,2021-06-01,June,18080.84,49442.06,76040.89,26598.83
R&D,2021-06-01,June,15261.63,7411.98,37685.56,30273.58
Marketing,2021-06-01,June,0.0,55380.19,94923.73,39543.53999999999
Operations,2021-06-01,June,0.0,11999.2,69265.21,57266.01000000001
IT,2021-06-01,June,44230.87,24216.09,37782.64,13566.55
Marketing,2021-06-01,June,46065.7,28678.46,51556.31,22877.85
HR,2021-06-01,June,39900.36,23337.72,35647.35,12309.629999999996
Marketing,2021-06-01,June,26539.97,4514.84,76922.41,72407.57
IT,2021-06-01,June,8945.88,26001.2,50654.19,24652.99
Sales,2021-06-01,June,8655.8,48390.8,8210.21,-40180.59
Operations,2021-06-01,June,38107.64,30029.22,67040.68,37011.45999999999
Operations,2021-06-01,June,13168.66,39884.75,80512.64,40627.89
R&D,2021-06-01,June,20487.75,0.0,28476.93,-4659.75
HR,2021-06-01,June,5394.38,16701.66,88430.41,71728.75
Sales,2021-06-01,June,30448.17,35497.53,85276.81,49779.28
Marketing,2021-06-01,June,21512.82,41062.94,22464.16,-18598.78
HR,2021-06-01,June,33188.65,58103.63,85222.76,27119.13
HR,2021-07-01,July,18874.8,25786.6,76369.17,50582.57
R&D,2021-07-01,July,44262.93,38653.51,19644.68,-19008.83
R&D,2021-07-01,July,49663.2,10837.0,57636.92,46799.92
R&D,2021-07-01,July,37888.45,12453.44,33001.54,20548.1
IT,2021-07-01,July,37946.35,20684.32,51760.12,31075.800000000003
R&D,2021-07-01,July,13519.84,55173.48,26041.63,-29131.85
R&D,2021-07-01,July,8913.75,30754.05,86353.3,55599.25
IT,2021-07-01,July,36750.14,49642.58,17417.48,-32225.1
Marketing,2021-07-01,July,31577.89,0.0,57206.72,15547.090000000004
IT,2021-07-01,July,44618.81,12293.48,53660.71,41367.23
IT,2021-07-01,July,35144.27,46477.09,10278.8,-36198.28999999999
Sales,2021-07-01,July,46092.61,41922.4,44693.32,2770.9199999999983
Operations,2021-07-01,July,6355.44,8889.97,72636.43,63746.45999999999
Sales,2021-07-01,July,8011.04,4062.3,5698.24,1635.9399999999996
Operations,2021-07-01,July,29791.11,5054.91,79556.11,74501.2
Sales,2021-07-01,July,49121.62,35508.59,80184.07,44675.48000000001
Operations,2021-07-01,July,45001.25,51930.48,16638.88,-35291.600000000006
Marketing,2021-07-01,July,42796.58,54916.25,6962.03,-47954.22
Operations,2021-07-01,July,24000.15,54268.55,60351.04,6082.489999999998
Marketing,2021-07-01,July,35889.73,55558.42,97939.5,42381.08
IT,2021-07-01,July,0.0,25165.74,88679.89,63514.15
R&D,2021-07-01,July,18492.96,47714.67,28985.61,-18729.06
Sales,2021-07-01,July,33707.88,7039.35,62878.51,55839.16
Operations,2021-07-01,July,43164.54,16480.16,13410.75,-3069.41
Operations,2021-07-01,July,5504.27,8851.89,42541.53,33689.64
Sales,2021-07-01,July,21838.59,23259.89,55163.41,31903.520000000004
Marketing,2021-07-01,July,41608.3,37328.39,97760.18,60431.78999999999
IT,2021-07-01,July,13499.08,0.0,37918.38,-9713.54
Operations,2021-07-01,July,0.0,25168.58,75171.07,50002.490000000005
R&D,2021-07-01,July,13089.23,40472.78,20743.98,-19728.8
Marketing,2021-07-01,July,29696.01,3066.53,85169.62,82103.09
HR,2021-07-01,July,40253.4,24791.08,0.0,-908.1100000000006
HR,2021-07-01,July,37766.77,37625.58,64068.47,26442.89
HR,2021-07-01,July,16296.94,8320.74,94512.61,86191.87
HR,2021-07-01,July,17199.48,30116.41,29634.13,-482.2799999999989
Sales,2021-07-01,July,26316.22,20133.77,63819.84,43686.06999999999
HR,2021-07-01,July,37343.73,46348.23,99354.1,53005.87
Operations,2021-07-01,July,0.0,14118.47,28591.61,14473.14
Marketing,2021-07-01,July,45283.26,52943.47,0.0,27959.56
R&D,2021-07-01,July,27737.86,15189.67,6570.88,-8618.79
Sales,2021-07-01,July,13768.92,57437.25,21611.04,-35826.21
IT,2021-07-01,July,41333.84,25568.99,65157.0,39588.01
Marketing,2021-07-01,July,15305.52,3833.5,1153.59,-2679.91
IT,2021-07-01,July,23170.0,33681.48,8107.47,-25574.01
IT,2021-07-01,July,39642.87,44759.73,7829.04,-36930.69
Operations,2021-07-01,July,45691.06,27051.66,82008.81,54957.15
R&D,2021-07-01,July,6594.49,55039.83,98754.78,43714.95
HR,2021-07-01,July,19752.89,6766.49,55906.68,49140.19
IT,2021-07-01,July,27355.58,17950.96,65467.43,47516.47
Sales,2021-07-01,July,41308.28,39314.68,86644.6,47329.920000000006
IT,2021-07-01,July,32705.81,14636.11,39189.64,24553.53
Sales,2021-07-01,July,31877.6,0.0,47113.79,-240.62999999999735
R&D,2021-07-01,July,24303.03,40535.67,74848.65,34312.98
Marketing,2021-07-01,July,28194.71,53869.11,47232.95,-6636.160000000004
IT,2021-07-01,July,37747.3,30099.87,60594.6,30494.73
Operations,2021-07-01,July,28599.39,20073.44,34155.58,14082.140000000005
R&D,2021-07-01,July,8783.97,28618.57,78225.01,49606.44
Marketing,2021-07-01,July,37018.44,48492.19,6402.88,-42089.310000000005
Operations,2021-07-01,July,45191.08,59292.32,51753.98,-7538.3399999999965
R&D,2021-07-01,July,18930.99,9096.37,42372.29,33275.92
Marketing,2021-07-01,July,0.0,26825.14,83390.77,56565.630000000005
Marketing,2021-07-01,July,0.0,46110.59,66754.52,20643.930000000008
Marketing,2021-07-01,July,6665.43,40407.09,6633.0,-33774.09
Operations,2021-07-01,July,34527.14,43275.47,97118.17,53842.7
HR,2021-07-01,July,27247.21,33219.08,83944.68,50725.59999999999
Sales,2021-08-01,August,25552.69,56557.23,76018.59,19461.359999999997
Operations,2021-08-01,August,30311.01,18705.98,24172.96,5466.98
Marketing,2021-08-01,August,12511.55,59259.07,11457.38,-47801.69
R&D,2021-08-01,August,6733.31,27758.0,39939.67,12181.669999999998
HR,2021-08-01,August,7553.54,58071.1,99469.31,41398.21
Operations,2021-08-01,August,23440.26,57870.06,22139.95,-35730.11
R&D,2021-08-01,August,11416.47,22904.1,21499.82,-1404.2799999999988
Operations,2021-08-01,August,33884.49,33496.53,10722.62,-22773.91
Marketing,2021-08-01,August,46087.3,15562.72,17164.68,1601.960000000001
Operations,2021-08-01,August,42314.55,13260.15,39603.58,26343.43
Marketing,2021-08-01,August,15312.48,41012.27,63369.08,22356.810000000005
HR,2021-08-01,August,41244.88,41775.78,85658.27,43882.490000000005
Marketing,2021-08-01,August,41334.32,54608.37,71546.2,16937.829999999994
HR,2021-08-01,August,21002.48,34272.81,83673.21,49400.40000000001
Sales,2021-08-01,August,18000.48,34970.19,0.0,10966.82
HR,2021-08-01,August,10472.49,45166.87,24100.8,-21066.070000000003
Operations,2021-08-01,August,32702.25,29650.43,10123.08,-19527.35
R&D,2021-08-01,August,43711.27,58343.29,34512.65,-23830.64
Marketing,2021-08-01,August,48414.26,18796.08,67996.5,49200.42
Sales,2021-08-01,August,49278.28,37325.12,93624.98,56299.85999999999
Marketing,2021-08-01,August,43137.34,25243.56,60063.39,34819.83
Sales,2021-08-01,August,9793.57,48772.25,18376.62,-30395.63
IT,2021-08-01,August,42083.88,11551.78,51911.34,40359.56
R&D,2021-08-01,August,27091.9,38638.64,61928.46,23289.82
Sales,2021-08-01,August,49118.36,27375.64,98979.14,71603.5
R&D,2021-08-01,August,46369.07,25212.49,17975.8,-7236.690000000002
Operations,2021-08-01,August,15978.93,35106.0,77754.4,42648.4
Marketing,2021-08-01,August,19151.56,47969.45,82697.37,34727.92
IT,2021-08-01,August,17167.1,55737.31,53793.95,-1943.3600000000008
HR,2021-08-01,August,48629.58,7417.77,51553.97,44136.2
HR,2021-08-01,August,7297.42,56278.48,23351.42,-32927.060000000005
Marketing,2021-08-01,August,23450.09,33048.66,53872.32,20823.66
Operations,2021-08-01,August,11353.62,10074.95,93539.21,83464.26000000001
R&D,2021-08-01,August,18604.01,31561.46,53688.85,22127.39
Marketing,2021-08-01,August,21294.05,0.0,45726.74,19322.87
HR,2021-08-01,August,7833.28,31448.89,35511.43,4062.540000000001
Marketing,2021-08-01,August,19942.8,47822.8,59778.87,11956.07
Operations,2021-08-01,August,0.0,57670.33,11665.28,-46005.05
HR,2021-08-01,August,10724.42,7249.81,35445.39,28195.58
IT,2021-08-01,August,31434.09,8287.38,4153.93,-4133.449999999999
Marketing,2021-08-01,August,44104.57,42804.68,17225.48,-25579.2
Sales,2021-08-01,August,11285.06,27396.53,33832.37,6435.840000000004
IT,2021-08-01,August,43602.53,58583.16,17593.53,-40989.630000000005
HR,2021-08-01,August,42099.34,47465.59,24696.21,-22769.38
R&D,2021-08-01,August,12165.42,18330.7,43796.84,25466.14
HR,2021-08-01,August,27137.51,22429.68,37798.8,15369.120000000004
HR,2021-08-01,August,29257.32,17687.2,49569.82,31882.62
IT,2021-08-01,August,49116.38,9325.63,83651.4,74325.76999999999
Operations,2021-08-01,August,5565.64,39343.39,3347.83,-35995.56
HR,2021-08-01,August,13207.18,7905.75,86854.94,78949.19
Operations,2021-08-01,August,7525.38,14387.06,0.0,53456.73
IT,2021-08-01,August,16744.2,53620.36,50626.25,-2994.1100000000006
HR,2021-08-01,August,24993.61,26682.83,80978.05,54295.22
Operations,2021-08-01,August,14910.8,47099.44,46616.08,-483.3600000000006
Sales,2021-08-01,August,5699.11,46249.07,24866.31,-21382.76
R&D,2021-09-01,September,41180.76,23589.61,68838.44,45248.83
Marketing,2021-09-01,September,46099.85,38489.83,8885.28,-29604.550000000003
IT,2021-09-01,September,42581.99,20061.94,83991.61,63929.67
Sales,2021-09-01,September,37514.96,13176.13,27747.4,14571.270000000002
IT,2021-09-01,September,25518.27,44832.6,97162.6,52330.00000000001
IT,2021-09-01,September,38439.59,20122.76,84783.01,64660.25
Operations,2021-09-01,September,20611.45,51644.6,99041.77,47397.170000000006
Sales,2021-09-01,September,21041.5,22687.56,80136.04,57448.48
Operations,2021-09-01,September,15941.61,45017.45,73950.48,28933.03
Sales,2021-09-01,September,9001.09,35972.72,16214.22,-19758.5
HR,2021-09-01,September,39713.05,14129.37,91764.38,77635.01000000001
Operations,2021-09-01,September,9929.65,0.0,43571.66,-12829.449999999995
R&D,2021-09-01,September,27015.3,6481.89,22738.01,16256.12
Sales,2021-09-01,September,46537.49,14578.47,44811.57,30233.1
Operations,2021-09-01,September,35485.29,0.0,91933.89,83184.4
Sales,2021-09-01,September,20122.03,27285.17,80211.5,52926.33
Marketing,2021-09-01,September,28912.65,21678.4,67725.55,46047.15
Sales,2021-09-01,September,30309.51,15562.75,24284.33,8721.580000000002
Sales,2021-09-01,September,29457.06,5888.68,38024.21,32135.53
R&D,2021-09-01,September,18094.29,20288.77,66640.61,46351.84
R&D,2021-09-01,September,26783.25,22245.73,18251.69,-3994.040000000001
Operations,2021-09-01,September,23768.55,3767.69,66068.55,62300.86
Marketing,2021-09-01,September,22611.96,39391.87,46358.3,6966.43
IT,2021-09-01,September,12049.8,54456.54,62676.97,8220.43
R&D,2021-09-01,September,31113.4,44868.01,47254.72,2386.709999999999
IT,2021-09-01,September,43486.77,44328.77,79740.95,35412.18
Marketing,2021-09-01,September,36238.79,58929.95,79333.78,20403.83
IT,2021-09-01,September,29731.75,0.0,93623.97,78761.41
IT,2021-09-01,September,11572.28,45006.58,41572.04,-3434.540000000001
Sales,2021-09-01,September,36896.09,42662.53,91110.06,48447.53
R&D,2021-09-01,September,43234.1,44487.86,62967.52,18479.66
R&D,2021-09-01,September,17462.69,11485.64,73284.97,61799.33
Operations,2021-09-01,September,30908.94,47210.77,11612.69,-35598.079999999994
Operations,2021-09-01,September,21986.76,12873.87,54799.61,41925.74
Marketing,2021-09-01,September,36608.09,35962.29,96218.87,60256.58
Marketing,2021-09-01,September,42081.03,26486.86,56737.48,30250.620000000003
Sales,2021-09-01,September,0.0,43198.5,4753.45,-38445.05
Operations,2021-09-01,September,48147.85,45621.41,99529.35,53907.94
Sales,2021-09-01,September,45657.49,5621.2,17647.53,12026.329999999998
